antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
아우터_기장_롱,하의_기장_발목,0.2647058823529412,0.6218454074730606,0.19932826421607502,0.7530178870385056,1.2109406582232056,1.0,0.034722126943794285,1.5311011311410043,0.2369061549262814,0.2900488732011947,0.34687527841169974,0.5367805012252653
하의_기장_발목,아우터_기장_롱,0.6218454074730606,0.2647058823529412,0.19932826421607502,0.32054311541202507,1.2109406582232058,1.0,0.034722126943794285,1.0821792144956244,0.4606467978813929,0.2900488732011947,0.07593863696035409,0.5367805012252653
아우터_기장_노말,하의_기장_발목,0.32226990716984655,0.6218454074730606,0.16736250408172784,0.5193240211333864,0.8351336439770755,1.0,-0.0330395576586108,0.7867141466452942,-0.2255780923213258,0.2154643044816455,-0.2711097217003141,0.39423123152614703
하의_기장_발목,아우터_기장_노말,0.6218454074730606,0.32226990716984655,0.16736250408172784,0.26913844191890773,0.8351336439770753,1.0,-0.0330395576586108,0.9273029691280554,-0.3429885479438003,0.2154643044816455,-0.0783962019881182,0.39423123152614703
아우터_기장_하프,하의_기장_발목,0.3355646778933619,0.6218454074730606,0.21055884685357093,0.6274761937860569,1.009054961643727,1.0,0.001889492995406944,1.0151152388627815,0.013505761644185307,0.2819287643853157,0.014890170380768713,0.48303969848336636
하의_기장_발목,아우터_기장_하프,0.6218454074730606,0.3355646778933619,0.21055884685357093,0.3386032031806759,1.009054961643727,1.0,0.001889492995406944,1.0045941034216166,0.02373025547140609,0.2819287643853157,0.0045730941541158735,0.48303969848336636
아우터_기장_하프,하의_기장_미디,0.3355646778933619,0.08571628492792835,0.03167420814479638,0.09439076944463752,1.1011999589576569,1.0,0.002910850602740468,1.0095786176024173,0.13831250210350965,0.08129789272030652,0.009487738186417741,0.2319572894842235
하의_기장_미디,아우터_기장_하프,0.08571628492792835,0.3355646778933619,0.03167420814479638,0.3695238095238095,1.1011999589576569,1.0,0.002910850602740468,1.0538626710150605,0.10051552966715172,0.08129789272030652,0.05110976268205878,0.2319572894842235
하의_기장_미디,아우터_기장_노말,0.08571628492792835,0.32226990716984655,0.031056117926948734,0.362312925170068,1.1242530472419119,1.0,0.003432338740281149,1.0627941502670426,0.12088209849475703,0.08239225271495312,0.059084019470058695,0.22933985984927371
아우터_기장_노말,하의_기장_미디,0.32226990716984655,0.08571628492792835,0.031056117926948734,0.0963667945284794,1.1242530472419119,1.0,0.003432338740281149,1.0117863194225953,0.1630745561790956,0.08239225271495312,0.011649020347815658,0.22933985984927371
하의_기장_미디,아우터_기장_롱,0.08571628492792835,0.2647058823529412,0.017528105611792695,0.20448979591836736,0.7725170068027211,1.0,-0.005161499222070692,0.9243050734916851,-0.2436144835853662,0.05265370467682607,-0.0818938775510204,0.13535354189256987
아우터_기장_롱,하의_기장_미디,0.2647058823529412,0.08571628492792835,0.017528105611792695,0.0662172878667724,0.7725170068027211,1.0,-0.005161499222070692,0.9791182715124266,-0.2859586112536343,0.05265370467682607,-0.0213270746702722,0.13535354189256987
하의_기장_미니,아우터_기장_노말,0.17416149647805196,0.32226990716984655,0.08233428184913934,0.47274675237712604,1.466928006182015,1.0,0.026207272546595974,1.2853976639986682,0.3854304269629947,0.19882843302917652,0.22203063844914825,0.3641145645796754
아우터_기장_노말,하의_기장_미니,0.32226990716984655,0.17416149647805196,0.08233428184913934,0.2554823767822248,1.4669280061820151,1.0,0.026207272546595974,1.1092262664686259,0.4696608434277025,0.19882843302917652,0.0984706815646936,0.3641145645796754
아우터_기장_하프,하의_기장_미니,0.3355646778933619,0.17416149647805196,0.05561645752670616,0.1657399040800723,0.9516449240028151,1.0,-0.002825988940377236,0.9899053155734444,-0.07104128922203261,0.12247361257351243,-0.01019762624540288,0.24253916323596492
하의_기장_미니,아우터_기장_하프,0.17416149647805196,0.3355646778933619,0.05561645752670616,0.3193384223918575,0.951644924002815,1.0,-0.002825988940377236,0.9761610526650796,-0.05796163119112694,0.12247361257351243,-0.024421121156018542,0.24253916323596492
하의_기장_미니,아우터_기장_롱,0.17416149647805196,0.2647058823529412,0.019254093389933294,0.11055310030802197,0.417645045608083,1.0,-0.026847479207198106,0.8266869195920483,-0.6280369057246985,0.045885328367749646,-0.20964778358109012,0.09164539322388499
아우터_기장_롱,하의_기장_미니,0.2647058823529412,0.17416149647805196,0.019254093389933294,0.072737686139748,0.417645045608083,1.0,-0.026847479207198106,0.8906201526555412,-0.6547383037633733,0.045885328367749646,-0.12281312860294416,0.09164539322388499
하의_기장_미니,아우터_기장_크롭,0.17416149647805196,0.03790175864160097,0.01309651537062089,0.07519753582429356,1.9840117851881613,1.0,0.006495488366449727,1.0403283713305576,0.6005662533438597,0.06582263642224959,0.03876504038717938,0.21036799868137757
아우터_기장_크롭,하의_기장_미니,0.03790175864160097,0.17416149647805196,0.01309651537062089,0.34553846153846157,1.9840117851881616,1.0,0.006495488366449727,1.261859490571853,0.5155094507053757,0.06582263642224959,0.20751873923235525,0.21036799868137757
하의_기장_발목,아우터_기장_크롭,0.6218454074730606,0.03790175864160097,0.015930400709054438,0.025617943813060273,0.6759038295637823,1.0,-0.007638633837377513,0.9873932255314604,-0.5590830965592929,0.024743687280368076,-0.012767734416806559,0.2229628180603763
아우터_기장_크롭,하의_기장_발목,0.03790175864160097,0.6218454074730606,0.015930400709054438,0.4203076923076923,0.6759038295637824,1.0,-0.007638633837377513,0.652336744008786,-0.3326171375779506,0.024743687280368076,-0.5329505952013815,0.2229628180603763
