antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
블루,네이비,0.14716913076529267,0.09379605640794923,0.003919157914333142,0.026630298717898036,0.2839170402012884,1.0,-0.009884726176437106,0.930996662828541,-0.7473083608333675,0.01653332024411394,-0.07411770624592146,0.034207061366888156
블랙,라벤더,0.2714826478847019,0.020588668766192465,0.0025384352844443755,0.009350267150490015,0.4541462712656576,1.0,-0.003051031028622613,0.988655524507763,-0.6226180745565657,0.008767347157477361,-0.011474649370806177,0.06632154970032741
라벤더,블랙,0.020588668766192465,0.2714826478847019,0.0025384352844443755,0.12329283225016482,0.4541462712656576,1.0,-0.003051031028622613,0.8309699964985089,-0.5510057799786064,0.008767347157477361,-0.20341288399549876,0.06632154970032741
라벤더,화이트,0.020588668766192465,0.4364285825098124,0.008053568935292202,0.3911651125553358,0.8962866508555064,1.0,-0.0009319145901012238,0.9256555908869619,-0.10566318884190141,0.017938130080598486,-0.0803154108773884,0.2048092307646799
화이트,라벤더,0.4364285825098124,0.020588668766192465,0.008053568935292202,0.018453348974024016,0.8962866508555064,1.0,-0.0009319145901012238,0.9978245356041545,-0.17034725059825012,0.017938130080598486,-0.0021802073593313372,0.2048092307646799
오렌지,화이트,0.022107075815634744,0.4364285825098124,0.006573946229386121,0.29736842105263156,0.6813678869118195,1.0,-0.003074213532268306,0.8020866615965215,-0.3235050868835146,0.014545360930903098,-0.24674807334352095,0.156215736293465
화이트,오렌지,0.4364285825098124,0.022107075815634744,0.006573946229386121,0.015063051534298435,0.6813678869118195,1.0,-0.003074213532268306,0.9928482485175226,-0.4534839062678224,0.014545360930903098,-0.007203267461221835,0.156215736293465
오렌지,블루,0.022107075815634744,0.14716913076529267,0.0038474068787911694,0.17403508771929824,1.182551577319919,1.0,0.0005939277472417808,1.0325267533215445,0.15786076184435024,0.023257177019470852,0.03150209252874944,0.10008892254750407
블루,오렌지,0.14716913076529267,0.022107075815634744,0.0038474068787911694,0.026142757375709896,1.1825515773199187,1.0,0.0005939277472417808,1.0041440176069338,0.1810100074736612,0.023257177019470852,0.004126915596041569,0.10008892254750407
오렌지,스카이블루,0.022107075815634744,0.13534766285545852,0.0038105617524317784,0.1723684210526316,1.2735234389433718,1.0,0.0008184207082171865,1.044730963799446,0.21963234672575835,0.024801211662249145,0.042815773007023536,0.1002611501351703
스카이블루,오렌지,0.13534766285545852,0.022107075815634744,0.0038105617524317784,0.028153879217709003,1.2735234389433716,1.0,0.0008184207082171865,1.0062219761675921,0.24839685103311362,0.024801211662249145,0.006183502562018985,0.1002611501351703
블랙,오렌지,0.2714826478847019,0.022107075815634744,0.0026780589211747004,0.009864567559073117,0.446217656344066,1.0,-0.0033236285582416755,0.9876355215100415,-0.6301146539253066,0.009205746092057461,-0.01251927276881851,0.06550245921813305
오렌지,블랙,0.022107075815634744,0.2714826478847019,0.0026780589211747004,0.12114035087719299,0.446217656344066,1.0,-0.0033236285582416755,0.8289348052814052,-0.5592995922696398,0.009205746092057461,-0.20636748949215847,0.06550245921813305
블랙,화이트,0.2714826478847019,0.4364285825098124,0.07860810747917281,0.28955113003228666,0.6634559275818662,1.0,-0.03987467971315817,0.7932610513066187,-0.4104780545745709,0.12491294674497865,-0.26061905895020493,0.23483395100350637
화이트,블랙,0.4364285825098124,0.2714826478847019,0.07860810747917281,0.1801167719747261,0.6634559275818663,1.0,-0.03987467971315817,0.8885623308455344,-0.47370625339080086,0.12491294674497865,-0.12541345191667566,0.23483395100350637
블랙,카키,0.2714826478847019,0.040549031167098466,0.005480227741665245,0.02018629103688677,0.49782425019480986,1.0,-0.005528130608737951,0.9792177431853238,-0.580651124111177,0.017877024291497977,-0.021223325413888952,0.07766846833049504
카키,블랙,0.040549031167098466,0.2714826478847019,0.005480227741665245,0.1351506456241033,0.4978242501948099,1.0,-0.005528130608737951,0.842363295329069,-0.5125216612213123,0.017877024291497977,-0.18713624578021323,0.07766846833049504
네이비,카키,0.09379605640794923,0.040549031167098466,0.0020827192478940102,0.02220476347998677,0.547602811728921,1.0,-0.001720619966742849,0.9812391521230976,-0.476891772874988,0.015746877016010793,-0.019119546785622707,0.036783873849032124
카키,네이비,0.040549031167098466,0.09379605640794923,0.0020827192478940102,0.05136298421807747,0.547602811728921,1.0,-0.001720619966742849,0.9552694323709308,-0.4626706813188893,0.015746877016010793,-0.0468250800384665,0.036783873849032124
베이지,카키,0.19588614468111512,0.040549031167098466,0.005553917994384027,0.028352786275033907,0.6992222861797841,1.0,-0.0023890753914932693,0.9874478671684671,-0.3485128003979117,0.024055300313290052,-0.012711691673937603,0.08266037209495358
